t	x_00	x_01	x_02	x_03	x_04	x_05	x_06	x_07	x_08	x_09	x_10	x_11	x_12	x_13	x_14	x_15	x_16	x_17	x_18	x_19	x_20	x_21	x_22	x_23	x_24	x_25	x_26	x_27	x_28	x_29	x_30	x_31	x_32	x_33	x_34	x_35	x_36	x_37	x_38	x_39
365d00h	6.186569615160092	6.521967599452784	-0.7999934140663494	2.5965525357251455	1.2111023543128348	4.70704864742527	8.620981061357853	1.8513943813166394	3.0845575445877156	4.772635552599241	-4.748636054814083	-0.23675155731560663	1.2432428636078938	9.058671783414031	0.35246497054604586	-0.3064679640615379	2.2864515646608776	3.958429672457722	5.139752781707064	-2.116344953004752	0.38913087062424284	4.062522591814298	9.195053876570494	1.3741974822276155	2.405539870137944	2.7430971245875955	-3.3786015706265395	-0.5318763616274615	1.9283904626444226	8.211426693043338	3.5416109817515977	-2.960485449215032	4.833773784553637	5.852139792751279	1.6876034027780293	4.03134256427699	6.7896394320898725	2.4163410569386485	-4.713239245594869	2.9812273972091408
365d06h	7.964606786206625	6.85417804861463	-2.8935230911716427	1.553561496411048	3.3669865996775425	4.548030564360411	10.554609036566788	1.8299770346219006	2.954422926785762	3.58181311049551	-2.1308774871908263	0.6927561084900231	1.5454083114025141	10.136509936723495	-0.48452493929590945	-0.1252481596512019	1.3591378594138968	5.675756693136446	6.3528498017294295	-3.3070778443977655	0.2250872532889323	2.767052715860871	12.08159599539641	4.3367530270996735	2.4761845736354884	2.3040769325567747	-2.895965238978102	1.95096364887563	2.3467620956912474	7.351477780225583	-0.3952662729558256	-1.6132116722915537	4.22512282248217	7.0748767269778385	-0.039308018316988824	4.813673146671197	7.399234873290757	0.15461677886325725	-3.20675036842644	1.6737895006634047
365d12h	7.408825724481002	5.070293183063738	-4.170163581240065	1.1237533658225598	2.370007218954507	6.332110683286853	6.745631094596373	1.1384415572370687	2.8332254033512605	3.3850336167139288	-1.7412486916696828	1.9665594601147696	3.750151447975276	8.426093905802041	-1.7849386937964042	3.3757484537243476	0.20847220083332196	3.997753025483053	3.6376011532511634	0.27172610689715304	-0.4532359601182693	3.353184097002907	8.707304181384778	2.607776911004981	0.41029331850077777	4.63856618005747	-1.51641635983682	0.8304355793981364	3.9105792482631654	9.851210702281733	-2.7299744781867368	-0.968250483784748	5.44494109931282	6.228370442917551	0.1574842102074224	3.492693425642053	5.7581395272048805	-2.210472747665813	-3.360970920975686	1.5394424829746405
365d18h	8.934642172558847	2.688294709340622	-5.165484044795711	2.831341634938431	3.5019894671879577	7.12201233362512	6.749068750319559	-1.1413336520737996	1.375459635845413	5.12118856602118	-4.159033941652951	1.7893365231070253	3.6280518910724635	10.987450811923932	-1.6755834914197814	3.5521969224689873	2.9745552322360362	5.103436655831107	1.5526608235438406	-3.2644681960565847	0.9761087527058798	3.775177913510661	9.955804690036798	0.20456131448985526	1.2869239694525036	2.4318536396656514	-0.06461236209659638	1.5967079319658999	7.235621255443789	5.527919095577481	-3.910096172254345	0.4678159511680633	6.10450257258861	7.075723776907426	0.4249100437899769	4.281617052814071	5.503228949643908	-2.7016571910255585	-1.4739891497493178	-2.5233734677925406
366d00h	7.095821331216423	2.945942415750115	-5.763739958110648	3.286880827846246	7.148434836744396	8.277333200728972	2.7872736537063716	-0.285193855377023	4.158486569740752	2.8904649714020723	-2.9126916605883286	2.0930428333862077	4.913576985157146	8.597395512735352	-2.705885729749348	1.9033603268068695	3.7444807856509508	4.305981349181321	-0.44546695391098656	-3.394877871708168	1.707608722882597	6.437182874064066	9.799065322126053	-1.0779793100311035	1.1229771904766785	3.8916029456771586	-0.6264080999251473	1.5518569950244478	6.367425828095259	3.6589357999080083	-4.7185315401512655	0.5087768278508257	5.3062400591642875	7.171375913344878	-0.5090097040780868	5.807453503959641	4.413126983821046	-5.56290290528965	-1.0873051095219466	-1.2664024716796962
366d06h	10.313200005248063	0.08026760731801465	-3.096471084384686	0.16062475497059314	8.378515823555299	9.935804304133608	1.8660076362374267	-2.490379337459665	4.038193816714978	3.3363849425211916	-2.584219607788073	0.4051071276043454	6.112472279383312	6.987715827479345	-1.4066553937137758	1.4014038894742205	5.214479690952733	6.692857454046274	-2.9968069426898403	-2.3817175622885114	-1.3817294539824794	5.491500280766083	8.7907122814535	-1.9575588217589541	2.4904815696619695	5.771718657333183	0.5488003900603783	3.9836114379608807	5.834569890599111	2.2000067999645467	-3.453300202782851	0.08155417980888503	4.6723515953726205	6.8152198659107	1.047340448866912	4.872206786885524	2.542674954249856	-5.682936988567317	1.135330835505352	-0.33973035921780725
366d12h	7.439307616917501	-0.12338885303257408	-2.475395607189778	0.03963309860681777	9.280922500258505	7.133419041517863	-4.642285176209962	-1.4345990117805774	3.078495503099594	1.760977789534592	-0.7062694236062028	1.4283573081799714	7.4918040943083	5.334275546340316	-4.3035224304599975	3.8081291194992604	6.753764555683909	2.7997980658226456	-2.6762766393902018	-2.6675297667246123	0.6074991850311028	6.505369580755062	8.872038256280929	-2.8166995288470487	2.855942667843193	5.122196620202432	2.0753307497731073	4.30141161077186	8.056532648311903	-0.691181548077374	-5.513271600885314	-0.39156826360525065	4.368974589806246	5.900260628526851	-0.4337396579344812	4.344866269377639	2.723094415873644	-6.05795525714916	2.0542964571711986	0.7609645629564062
366d18h	7.95085351817075	-1.7618982213325023	-2.5536924215659624	-1.0727617450297295	6.9820948267934195	6.831171624667678	-6.104293357434302	0.9396031234054376	2.7561604531663955	3.8347131950439928	-0.5430862598184998	0.26425635286840277	6.985416073533111	3.5416425023839744	-1.6537063922637723	2.2767698200931106	8.414155098392488	2.0360286279162034	-2.8373918893942336	-0.14946652237222974	-0.36721016067223766	6.045373715272086	7.328028109484136	-2.1494621941106535	4.157756351974102	6.735791885768899	0.580086202117638	3.2123880071737516	7.181641484162987	-1.6955859649839233	-3.1598233781123035	-1.1229637706482938	6.264784957346528	9.016775756790643	-0.3598672527454453	3.009656882422215	2.1285190110034913	-5.124855832419117	1.853154813137679	2.226013443127115
367d00h	9.120251578052748	-5.48178177871419	0.9160663236697562	0.6908702041093976	6.561812505965935	5.290298726148814	-7.303339549973736	1.8557149671558748	3.636956473709063	3.97640407007628	0.9795134365650737	2.837042555135509	7.080761140456019	2.542743362144577	-3.7298660693889336	3.3055710437977934	8.18089115638528	-2.82061280928641	-1.8297367579523318	-0.7735773483218779	-0.6262496926928677	5.144442425514278	4.898222249141494	-3.159953193891168	2.5510043404945657	7.2028722757923465	-1.4098679029610857	4.70598455537629	7.02212461812558	-4.905989878362644	-2.948882764851633	-1.9836587286213687	2.790294580705786	8.123776818532336	1.7021041990949262	4.124715569882251	2.0313821803682255	-2.5264203995838246	4.490200387269319	3.4595287927956573
367d06h	6.229487820170996	-5.962179810370439	3.371217917321206	0.377554897292699	8.7826790583466	2.5982773479511434	-7.484706117336944	1.858434044045525	7.170198749235386	4.883570434371094	-2.2616965791170673	-0.4618669741418806	7.960835300192112	-0.23165451684823352	-3.853760372201725	1.2222634912422907	8.243053823440519	-2.7301776958104815	-0.4824085557673261	0.7022485479617775	-0.4899501913137826	5.833368196437833	4.442359862950363	-4.44427528799312	3.9339542680163406	6.594183554121544	3.4197992833680075	3.185378207875485	5.161466805376952	-4.17298602926907	1.8696793907985139	-2.633278324918004	3.1997668125682397	9.387614166930767	0.08050238973942969	2.4075912840828573	2.7013467448497	-4.52039735966922	1.1538766761281707	5.318550386603104
367d12h	4.157972910176199	-6.86191689305436	3.469235207533229	1.3876298119032267	8.904112333261846	1.0436971297334463	-7.438700953604561	2.187559007484298	7.69764638736282	4.125221221714358	-0.3571442956876424	2.972429483978547	8.3510681748239	0.7361272349287538	-2.3653365112915052	1.2628679636534872	9.081501323693772	-3.4400751321416134	-0.2795569144302946	0.6855360979549654	0.8973111361913209	3.901912609538679	3.572899994763976	-4.597013293995439	3.612740606957895	8.369431372463783	1.339112709005084	5.4410839573956995	3.646159709228252	-4.041595842100517	2.8589030761376133	-0.9441367223518684	1.9707104460268452	9.59560287101264	2.2225076041859735	3.3683504935132236	0.056244450057569506	-1.2601358451904479	0.9898817680308422	5.311656213342601
367d18h	2.455314262080634	-5.467265067223883	3.091282915968743	3.8384168460643346	6.292350154976955	-2.504998617424088	-4.604715095591066	-0.9945274684460041	5.0879845360084515	1.5783734134197964	-0.41396114954233254	0.7675438458845338	7.666224631852337	-2.398572895338535	-0.20251856409612867	1.1024464949062065	8.24411170712997	-2.9439828981820204	1.2257710789769556	0.413548699294548	0.3155238156247453	7.062284604118673	2.5101219936829433	-5.2545566116722	2.995968538848258	10.228040580677233	1.0047303391808606	3.5336547618910883	3.9671228391092908	-4.723780811797611	3.2482860111122864	0.4151399016806983	4.9637144186850115	9.99940278640158	2.3296675705342653	5.1358123492108625	1.6122727732015538	-2.0995454496308286	0.1150045340569239	6.897528911490456
